"","BOOK","DATE","ENVIRONMENT","PLOT","REP","INSTN","NTP","Plant_Vigor","SE","NPH","PPH","NMTP","MTWPL","MTYNA","MTYA","Tuber_Apper","ATMW","AVDM","Chip_Color","Column1"
"1","PTYield_CIPHQ","11/09/2003","CIPHQ",1,1,"CIP397006.18",10,5,7,10,100,106,13.69,1.369,50.7037037037037,50.7037037037037,5,129.150943396226,16.09,NA
"2","PTYield_CIPHQ","11/09/2003","CIPHQ",2,1,"CIP397012.22",10,5,6,10,100,110,11.16,1.116,41.3333333333333,41.3333333333333,5,101.454545454545,16.14,NA
"3","PTYield_CIPHQ","11/09/2003","CIPHQ",3,1,"CIP397030.31",10,8,4,10,100,122,15.24,1.524,56.4444444444444,56.4444444444444,5,124.918032786885,15.76,NA
"4","PTYield_CIPHQ","11/09/2003","CIPHQ",4,1,"CIP397065.28",10,9,7,10,100,92,18.81,1.881,69.6666666666667,69.6666666666666,7,204.45652173913,18.73,NA
"5","PTYield_CIPHQ","11/09/2003","CIPHQ",5,1,"CIP397079.26",10,8,6,10,100,83,19.2405,1.92405,71.2611111111111,71.261111111111,5,231.813253012048,16.1,NA
"6","PTYield_CIPHQ","11/09/2003","CIPHQ",6,1,"CIP397100.9",10,5,7,9,90,43,6.6495,0.738833333333333,24.6277777777778,27.3641975308642,4,154.639534883721,17.07,NA
"7","PTYield_CIPHQ","11/09/2003","CIPHQ",7,1,"CIP397060.19",10,7,6,9,90,59,11.31,1.25666666666667,41.8888888888889,46.5432098765432,5,191.694915254237,17.58,NA
"8","PTYield_CIPHQ","11/09/2003","CIPHQ",8,1,"CIP397069.11",10,5,6,10,100,93,10.98,1.098,40.6666666666667,40.6666666666666,5,118.064516129032,17.98,NA
"9","PTYield_CIPHQ","11/09/2003","CIPHQ",9,1,"CIP397099.6",10,6,5,10,100,95,16.17,1.617,59.8888888888889,59.8888888888888,5,170.210526315789,17.37,NA
"10","PTYield_CIPHQ","11/09/2003","CIPHQ",10,1,"CIP397065.2",10,7,5,10,100,90,12,1.2,44.4444444444444,44.4444444444444,6,133.333333333333,18.08,NA
"11","PTYield_CIPHQ","11/09/2003","CIPHQ",11,1,"CIP397073.7",10,5,7,8,80,87,9.1695,1.1461875,33.9611111111111,42.4513888888889,6,105.396551724138,17.49,NA
"12","PTYield_CIPHQ","11/09/2003","CIPHQ",12,1,"CIP397078.12",10,5,3,8,80,120,11.65,1.45625,43.1481481481482,53.9351851851851,4,97.0833333333333,16.1,NA
"13","PTYield_CIPHQ","11/09/2003","CIPHQ",13,1,"CIP397079.6",10,7,5,10,100,105,19.29,1.929,71.4444444444444,71.4444444444444,6,183.714285714286,16.06,NA
"14","PTYield_CIPHQ","11/09/2003","CIPHQ",14,1,"CIP397012.20",10,9,3,10,100,166,22.24,2.224,82.3703703703704,82.3703703703703,5,133.975903614458,15.06,NA
"15","PTYield_CIPHQ","11/09/2003","CIPHQ",15,1,"CIP397077.16",10,7,7,10,100,75,12.45,1.245,46.1111111111111,46.1111111111111,5,166,17.55,NA
"16","PTYield_CIPHQ","11/09/2003","CIPHQ",16,1,"CIP397073.15",10,5,7,8,80,69,8.4955,1.0619375,31.4648148148148,39.3310185185185,5,123.123188405797,17.54,NA
"17","PTYield_CIPHQ","11/09/2003","CIPHQ",17,1,"CIP397067.2",10,7,7,10,100,55,8.29,0.829,30.7037037037037,30.7037037037037,5,150.727272727273,17.5,NA
"18","PTYield_CIPHQ","11/09/2003","CIPHQ",18,1,"CIP397035.26",10,7,7,10,100,118,17.64,1.764,65.3333333333333,65.3333333333333,5,149.491525423729,16.37,NA
"19","PTYield_CIPHQ","11/09/2003","CIPHQ",19,1,"CIP397029.21",10,7,5,9,90,106,10.56,1.17333333333333,39.1111111111111,43.4567901234567,5,99.622641509434,16.47,NA
"20","PTYield_CIPHQ","11/09/2003","CIPHQ",20,1,"CIP397016.7",10,7,7,10,100,96,15.65,1.565,57.962962962963,57.9629629629629,5,163.020833333333,18.08,NA
"21","PTYield_CIPHQ","11/09/2003","CIPHQ",21,1,"CIP397055.2",10,7,6,10,100,99,12.55,1.255,46.4814814814815,46.4814814814814,5,126.767676767677,16.45,NA
"22","PTYield_CIPHQ","11/09/2003","CIPHQ",22,1,"CIP397098.12",10,7,6,10,100,67,11.7,1.17,43.3333333333333,43.3333333333333,5,174.626865671642,17.4,NA
"23","PTYield_CIPHQ","11/09/2003","CIPHQ",23,1,"CIP397036.7",10,5,6,10,100,132,17.93,1.793,66.4074074074074,66.4074074074073,5,135.833333333333,15.05,NA
"24","PTYield_CIPHQ","11/09/2003","CIPHQ",24,1,"CIP397054.3",10,7,4,10,100,131,11.824,1.1824,43.7925925925926,43.7925925925925,5,90.2595419847328,16.15,NA
"25","PTYield_CIPHQ","11/09/2003","CIPHQ",25,1,"CIP397014.2",10,7,6,10,100,129,15.44,1.544,57.1851851851852,57.1851851851851,5,119.68992248062,16.79,NA
"26","PTYield_CIPHQ","11/09/2003","CIPHQ",26,1,"CIP380389.1",10,7,5,10,100,187,13.495,1.3495,49.9814814814815,49.9814814814814,4,72.1657754010695,17.1,NA
"27","PTYield_CIPHQ","11/09/2003","CIPHQ",27,1,"CIP800048",10,6,7,9,90,61,6.39,0.71,23.6666666666667,26.2962962962963,5,104.754098360656,17.98,NA
"28","PTYield_CIPHQ","11/09/2003","CIPHQ",28,1,"CIP392797.22",10,7,4,10,100,86,13.992,1.3992,51.8222222222222,51.8222222222222,5,162.697674418605,17.23,NA
"29","PTYield_CIPHQ","11/09/2003","CIPHQ",29,2,"CIP397006.18",10,5,7,10,100,89,12.6,1.26,46.6666666666667,46.6666666666666,5,141.573033707865,15.99,NA
"30","PTYield_CIPHQ","11/09/2003","CIPHQ",30,2,"CIP397012.22",10,5,5,9,90,101,13.4,1.48888888888889,49.6296296296296,55.1440329218106,5,132.673267326733,17.07,NA
"31","PTYield_CIPHQ","11/09/2003","CIPHQ",31,2,"CIP397030.31",10,7,5,10,100,182,17.31,1.731,64.1111111111111,64.111111111111,5,95.1098901098901,16.15,NA
"32","PTYield_CIPHQ","11/09/2003","CIPHQ",32,2,"CIP397065.28",10,9,5,10,100,99,24.54,2.454,90.8888888888889,90.8888888888888,6,247.878787878788,17.07,NA
"33","PTYield_CIPHQ","11/09/2003","CIPHQ",33,2,"CIP397079.26",10,7,6,9,90,86,20.329,2.25877777777778,75.2925925925926,83.6584362139917,5,236.383720930233,16.1,NA
"34","PTYield_CIPHQ","11/09/2003","CIPHQ",34,2,"CIP397100.9",10,5,7,10,100,48,8,0.8,29.6296296296296,29.6296296296296,5,166.666666666667,19,NA
"35","PTYield_CIPHQ","11/09/2003","CIPHQ",35,2,"CIP397060.19",10,5,7,10,100,65,9.15,0.915,33.8888888888889,33.8888888888889,5,140.769230769231,16.15,NA
"36","PTYield_CIPHQ","11/09/2003","CIPHQ",36,2,"CIP397069.11",10,8,5,10,100,128,15.46,1.546,57.2592592592593,57.2592592592592,5,120.78125,16.1,NA
"37","PTYield_CIPHQ","11/09/2003","CIPHQ",37,2,"CIP397099.6",10,7,5,10,100,110,15.7,1.57,58.1481481481481,58.1481481481481,6,142.727272727273,17.07,NA
"38","PTYield_CIPHQ","11/09/2003","CIPHQ",38,2,"CIP397065.2",10,7,5,10,100,94,12.81,1.281,47.4444444444444,47.4444444444444,5,136.276595744681,17.36,NA
"39","PTYield_CIPHQ","11/09/2003","CIPHQ",39,2,"CIP397073.7",10,7,6,10,100,93,10.24,1.024,37.9259259259259,37.9259259259259,5,110.10752688172,17.67,NA
"40","PTYield_CIPHQ","11/09/2003","CIPHQ",40,2,"CIP397078.12",10,5,3,3,30,43,5.6,1.86666666666667,20.7407407407407,69.1358024691357,5,130.232558139535,16.77,NA
"41","PTYield_CIPHQ","11/09/2003","CIPHQ",41,2,"CIP397079.6",10,5,5,10,100,96,15.78,1.578,58.4444444444444,58.4444444444444,5,164.375,15.99,NA
"42","PTYield_CIPHQ","11/09/2003","CIPHQ",42,2,"CIP397012.20",10,8,3,10,100,183,26.8245,2.68245,99.35,99.3499999999999,5,146.581967213115,15.51,NA
"43","PTYield_CIPHQ","11/09/2003","CIPHQ",43,2,"CIP397077.16",10,5,6,10,100,78,12.805,1.2805,47.4259259259259,47.4259259259259,5,164.166666666667,17.56,NA
"44","PTYield_CIPHQ","11/09/2003","CIPHQ",44,2,"CIP397073.15",10,5,6,9,90,57,8,0.888888888888889,29.6296296296296,32.9218106995884,5,140.350877192982,17.54,NA
"45","PTYield_CIPHQ","11/09/2003","CIPHQ",45,2,"CIP397067.2",10,7,7,10,100,62,9.16,0.916,33.9259259259259,33.9259259259259,7,147.741935483871,17.54,NA
